model,timestep,task,metric_value,best_layer
B,499,ordinal,0.7380,res::down_blocks.2.resnets.1
B,399,ordinal,0.7304,res::down_blocks.2.resnets.1
B,299,ordinal,0.7294,res::down_blocks.2.resnets.1
B,199,ordinal,0.7201,res::down_blocks.2.resnets.1
B,99,ordinal,0.7138,res::down_blocks.2.resnets.1
B,999,depth,0.1704,res::down_blocks.2.resnets.1
B,899,depth,0.1640,res::down_blocks.2.resnets.1
B,799,depth,0.1746,res::down_blocks.2.resnets.1
B,699,depth,0.1689,res::down_blocks.2.resnets.1
B,599,depth,0.1583,res::down_blocks.2.resnets.1
B,499,depth,0.1522,res::down_blocks.2.resnets.1
B,399,depth,0.1613,res::down_blocks.2.resnets.1
B,299,depth,0.1627,res::down_blocks.2.resnets.1
B,199,depth,0.1637,res::down_blocks.2.resnets.1
B,99,depth,0.1649,res::down_blocks.2.resnets.1
B,999,boundary,0.7518,res::down_blocks.2.resnets.1
B,899,boundary,0.7370,res::down_blocks.2.resnets.1
B,799,boundary,0.7463,res::down_blocks.2.resnets.1
B,699,boundary,0.7463,res::down_blocks.2.resnets.1
B,599,boundary,0.7502,res::down_blocks.2.resnets.1
B,499,boundary,0.7501,res::down_blocks.2.resnets.1
B,399,boundary,0.7475,res::down_blocks.2.resnets.1
B,299,boundary,0.7496,res::down_blocks.2.resnets.1
B,199,boundary,0.7494,res::down_blocks.2.resnets.1
B,99,boundary,0.7446,res::down_blocks.2.resnets.1
B,999,ordinal,0.7308,res::down_blocks.3.resnets.1
B,899,ordinal,0.7309,res::down_blocks.3.resnets.1
B,799,ordinal,0.7250,res::down_blocks.3.resnets.1
B,699,ordinal,0.7155,res::down_blocks.3.resnets.1
B,599,ordinal,0.7264,res::down_blocks.3.resnets.1
B,499,ordinal,0.7245,res::down_blocks.3.resnets.1
B,399,ordinal,0.7257,res::down_blocks.3.resnets.1
B,299,ordinal,0.7245,res::down_blocks.3.resnets.1
B,199,ordinal,0.7179,res::down_blocks.3.resnets.1
B,99,ordinal,0.7152,res::down_blocks.3.resnets.1
B,999,depth,0.1707,res::down_blocks.3.resnets.1
B,899,depth,0.1596,res::down_blocks.3.resnets.1
B,799,depth,0.1601,res::down_blocks.3.resnets.1
B,699,depth,0.1723,res::down_blocks.3.resnets.1
B,599,depth,0.1629,res::down_blocks.3.resnets.1
B,499,depth,0.1455,res::down_blocks.3.resnets.1
B,399,depth,0.1650,res::down_blocks.3.resnets.1
B,299,depth,0.1574,res::down_blocks.3.resnets.1
B,199,depth,0.1771,res::down_blocks.3.resnets.1
B,99,depth,0.1767,res::down_blocks.3.resnets.1
B,999,boundary,0.7378,res::down_blocks.3.resnets.1
B,899,boundary,0.7432,res::down_blocks.3.resnets.1
B,799,boundary,0.7389,res::down_blocks.3.resnets.1
