model,layer,task,metric_value,best_timestep
A,res::up_blocks.2.resnets.0,ordinal,0.6514,599
A,res::up_blocks.2.resnets.0,depth,0.1448,999
A,res::up_blocks.2.resnets.0,boundary,0.7491,499
A,res::up_blocks.2.resnets.2,ordinal,0.6582,99
A,res::up_blocks.2.resnets.2,depth,0.1562,399
A,res::up_blocks.2.resnets.2,boundary,0.7506,899
A,res::up_blocks.3.resnets.1,ordinal,0.6593,99
A,res::up_blocks.3.resnets.1,depth,0.1720,399
A,res::up_blocks.3.resnets.1,boundary,0.7506,999
A,res::mid_block.resnets.0,ordinal,0.5285,999
A,res::mid_block.resnets.0,depth,0.0861,999
A,res::mid_block.resnets.0,boundary,0.7381,599
